17.0002, -0.00436285, -0.0019419, 0.0868612,200
17.0012, -0.00489873, -0.00163537, 0.0865147,199.999
17.0027, -0.00495236, -0.0016138, 0.08619,199.998
17.0049, -0.00502427, -0.00159359, 0.0858691,199.997
17.0077, -0.00511964, -0.00156627, 0.0855528,199.996
17.0111, -0.00523749, -0.00153218, 0.0852427,199.995
17.0151, -0.00537724, -0.00149148, 0.08494,199.993
17.0196, -0.00553823, -0.00144436, 0.0846461,199.992
17.0247, -0.0057197, -0.00139106, 0.0843622,199.991
17.0303, -0.00592082, -0.00133182, 0.0840895,199.99
17.0364, -0.00614065, -0.00126691, 0.0838292,199.989
17.043, -0.0063782, -0.00119663, 0.0835824,199.988
17.05, -0.00663238, -0.00112129, 0.0833502,199.986
17.0574, -0.00690205, -0.00104125, 0.0831335,199.985
17.0652, -0.00718598, -0.000956848, 0.0829332,199.984
17.0733, -0.00748291, -0.000868478, 0.0827501,199.982
17.0817, -0.00779152, -0.000776531, 0.0825851,199.981
17.0904, -0.00811042, -0.000681416, 0.0824388,199.979
17.0993, -0.00843819, -0.000583558, 0.0823118,199.977
17.1084, -0.0087734, -0.000483388, 0.0822045,199.976
17.1176, -0.00911455, -0.000381351, 0.0821175,199.974
17.127, -0.00946015, -0.000277895, 0.0820511,199.972
17.1364, -0.00980867, -0.000173476, 0.0820054,199.97
17.1458, -0.0101586, -6.85507e-05, 0.0819807,199.968
17.1552, -0.0105084, 3.64206e-05, 0.0819769,199.966
