16.400, 26.890, 27.000, 190.404, 186.000, -6.512, 3.758
16.600, 27.053, 27.000, 189.431, 186.000, -6.719, 3.774
16.800, 27.188, 27.000, 188.436, 186.000, -6.932, 3.670
17.000, 27.237, 27.000, 187.438, 186.000, -6.970, 3.495
17.200, 27.185, 27.000, 186.468, 186.000, -6.737, 3.323
17.400, 27.064, 27.000, 185.548, 186.000, -6.258, 3.221
17.600, 26.934, 27.000, 184.689, 186.000, -5.655, 3.220
17.800, 26.853, 27.000, 183.884, 186.000, -5.089, 3.304
18.000, 26.854, 27.000, 183.116, 186.000, -4.680, 3.420
18.200, 26.929, 27.000, 182.366, 186.000, -4.461, 3.504
18.400, 27.036, 27.000, 181.622, 186.000, -4.368, 3.513
18.600, 27.125, 27.000, 180.886, 186.000, -4.279, 3.443
18.800, 27.156, 27.000, 180.171, 186.000, -4.076, 3.325
19.000, 27.120, 27.000, 179.495, 186.000, -3.697, 3.211
19.200, 27.039, 27.000, 178.872, 186.000, -3.158, 3.145
19.400, 26.951, 27.000, 178.310, 186.000, -2.545, 3.146
19.600, 26.898, 27.000, 177.803, 186.000, -1.963, 3.205
19.800, 26.899, 27.000, 177.339, 186.000, -1.494, 3.284
20.000, 26.949, 27.000, 176.905, 186.000, -1.157, 3.342
20.200, 27.020, 27.000, 176.493, 186.000, -0.910, 3.350
20.400, 27.079, 27.000, 176.104, 186.000, -0.671, 3.306
20.600, 27.098, 27.000, 175.747, 186.000, -0.363, 3.232
20.800, 27.073, 27.000, 175.431, 186.000, 0.056, 3.160
21.000, 27.018, 27.000, 175.165, 186.000, 0.572, 3.120
21.200, 26.960, 27.000, 174.952, 186.000, 1.128, 3.127
21.400, 26.925, 27.000, 174.789, 186.000, 1.653, 3.172
21.600, 26.926, 27.000, 174.666, 186.000, 2.094, 3.230
21.800, 26.960, 27.000, 174.574, 186.000, 2.437, 3.274
22.000, 27.007, 27.000, 174.508, 186.000, 2.711, 3.285
22.200, 27.046, 27.000, 174.468, 186.000, 2.972, 3.260
22.400, 27.058, 27.000, 174.457, 186.000, 3.272, 3.216
22.600, 27.041, 27.000, 174.482, 186.000, 3.637, 3.175
22.800, 27.003, 27.000, 174.548, 186.000, 4.056, 3.155
23.000, 26.964, 27.000, 174.654, 186.000, 4.492, 3.167
23.200, 26.941, 27.000, 174.797, 186.000, 4.897, 3.204
23.400, 26.943, 27.000, 174.971, 186.000, 5.235, 3.250
23.600, 26.966, 27.000, 175.170, 186.000, 5.500, 3.286
23.800, 26.998, 27.000, 175.388, 186.000, 5.711, 3.299
24.000, 27.023, 27.000, 175.625, 186.000, 5.905, 3.289
24.200, 27.031, 27.000, 175.883, 186.000, 6.117, 3.265
24.400, 27.019, 27.000, 176.165, 186.000, 6.364, 3.244
24.600, 26.994, 27.000, 176.473, 186.000, 6.639, 3.239
24.800, 26.968, 27.000, 176.807, 186.000, 6.917, 3.254
25.000, 26.954, 27.000, 177.162, 186.000, 7.165, 3.285
25.200, 26.955, 27.000, 177.535, 186.000, 7.362, 3.322
25.400, 26.971, 27.000, 177.921, 186.000, 7.501, 3.351
25.600, 26.993, 27.000, 178.316, 186.000, 7.599, 3.366
25.800, 27.010, 27.000, 178.718, 186.000, 7.680, 3.364
26.000, 27.015, 27.000, 179.129, 186.000, 7.767, 3.354
26.200, 27.007, 27.000, 179.551, 186.000, 7.872, 3.346
26.400, 26.990, 27.000, 179.982, 186.000, 7.989, 3.348
26.600, 26.973, 27.000, 180.424, 186.000, 8.103, 3.364
26.800, 26.964, 27.000, 180.873, 186.000, 8.191, 3.390
27.000, 26.966, 27.000, 181.326, 186.000, 8.240, 3.419
27.200, 26.977, 27.000, 181.779, 186.000, 8.248, 3.443
27.400, 26.992, 27.000, 182.229, 186.000, 8.224, 3.456
27.600, 27.003, 27.000, 182.676, 186.000, 8.185, 3.459
27.800, 27.006, 27.000, 183.119, 186.000, 8.148, 3.456
28.000, 27.001, 27.000, 183.560, 186.000, 8.120, 3.454
28.200, 26.990, 27.000, 183.998, 186.000, 8.098, 3.459
28.400, 26.980, 27.000, 184.432, 186.000, 8.071, 3.472
28.600, 26.974, 27.000, 184.862, 186.000, 8.026, 3.492
28.800, 26.976, 27.000, 185.284, 186.000, 7.952, 3.514
29.000, 26.983, 27.000, 185.695, 186.000, 7.850, 3.532
29.200, 26.993, 27.000, 186.095, 186.000, 7.726, 3.543
29.400, 27.001, 27.000, 186.483, 186.000, 7.594, 3.546
29.600, 27.004, 27.000, 186.857, 186.000, 7.462, 3.545
29.800, 27.000, 27.000, 187.220, 186.000, 7.336, 3.545
30.000, 26.993, 27.000, 187.571, 186.000, 7.215, 3.550
30.200, 26.986, 27.000, 187.909, 186.000, 7.092, 3.560
30.400, 26.983, 27.000, 188.235, 186.000, 6.956, 3.574
30.600, 26.985, 27.000, 188.545, 186.000, 6.804, 3.588
30.800, 26.990, 27.000, 188.839, 186.000, 6.635, 3.600
31.000, 26.997, 27.000, 189.115, 186.000, 6.453, 3.606
31.200, 27.002, 27.000, 189.374, 186.000, 6.268, 3.608
31.400, 27.004, 27.000, 189.616, 186.000, 6.086, 3.607
31.600, 27.002, 27.000, 189.841, 186.000, 5.910, 3.606
31.800, 26.997, 27.000, 190.049, 186.000, 5.741, 3.608
32.000, 26.993, 27.000, 190.242, 186.000, 5.572, 3.613
